city,country,avg_temp_c,beach_score,mountain_score,cultural_sites_score,nightlife_score,avg_daily_cost_usd,luxury_index,family_friendly_score,travel_style
Tirana,Albania,15,3,5,5,6,25,2,5,Budget
Patagonia,Argentina,8,0,10,3,2,80,4,4,Adventure
Yerevan,Armenia,13,0,5,7,5,30,3,5,Budget
Aruba,Aruba,28,10,1,2,6,130,7,7,Relaxation
Gold Coast,Australia,22,8,3,4,5,120,6,10,Family
Sydney,Australia,20,9,3,7,8,140,7,9,Family
Vienna,Austria,12,0,2,10,7,120,8,7,Culture
Salzburg,Austria,9,0,6,9,5,110,7,8,Culture
Vienna,Austria,12,0,2,9,6,120,8,9,Family
Baku,Azerbaijan,15,3,4,7,6,40,4,5,Budget
Bhutan,Bhutan,12,0,9,7,1,220,6,4,Adventure
La Paz,Bolivia,10,0,8,5,4,20,2,4,Adventure
Sofia,Bulgaria,12,0,3,7,6,30,3,5,Budget
Phnom Penh,Cambodia,30,1,1,6,5,20,2,4,Budget
Siem Reap,Cambodia,28,1,2,9,4,25,3,5,Culture
Banff,Canada,2,0,10,4,4,130,6,7,Adventure
St Barts,Caribbean,27,10,1,3,6,450,10,5,Luxury
Turks and Caicos,Caribbean,28,10,1,2,4,300,9,6,Luxury
Anguilla,Caribbean,28,10,1,2,4,400,10,5,Luxury
Torres del Paine,Chile,8,2,10,2,1,100,5,4,Adventure
Medellín,Colombia,22,0,5,5,8,30,3,5,Budget
San Jose,Costa Rica,22,4,7,4,5,60,4,6,Adventure
Costa Rica,Costa Rica,26,5,7,4,4,80,5,9,Family
Dubrovnik,Croatia,19,8,3,7,5,110,7,7,Relaxation
Havana,Cuba,26,6,1,8,7,35,3,5,Culture
Paphos,Cyprus,22,8,2,7,4,70,5,7,Relaxation
Prague,Czech Republic,11,0,2,9,8,60,5,7,Culture
Copenhagen,Denmark,10,2,1,8,6,180,7,9,Family
Punta Cana,Dominican Republic,28,10,1,2,5,70,6,7,Relaxation
Galápagos Islands,Ecuador,24,7,5,4,1,180,6,5,Adventure
Hurghada,Egypt,28,9,1,4,4,35,5,6,Relaxation
Sharm el-Sheikh,Egypt,27,9,1,3,4,40,5,6,Relaxation
Tallinn,Estonia,7,1,2,8,7,55,4,7,Budget
Laucala Island,Fiji,28,10,2,2,2,500,10,4,Luxury
Fiji,Fiji,28,10,2,3,3,350,9,6,Luxury
Paris,France,12,1,2,10,9,180,9,6,Culture
Courchevel,France,0,0,10,2,5,350,10,4,Luxury
Val d'Isere,France,0,0,10,2,5,280,9,4,Luxury
Bora Bora,French Polynesia,27,10,3,3,3,500,10,6,Luxury
Tbilisi,Georgia,14,0,6,8,7,30,3,6,Budget
Athens,Greece,19,4,2,10,7,80,6,6,Culture
Mykonos,Greece,23,9,1,5,9,200,9,4,Luxury
Santorini,Greece,20,8,3,7,6,200,9,7,Luxury
Santorini,Greece,20,8,3,7,6,180,9,7,Relaxation
Reykjavik,Iceland,4,1,8,5,6,180,6,6,Adventure
Jaipur,India,25,0,2,9,4,25,4,6,Culture
Lombok,Indonesia,27,9,7,4,3,35,4,6,Adventure
Bali,Indonesia,28,8,5,6,4,55,5,8,Family
Amanjiwo,Indonesia,27,5,6,7,2,400,10,5,Luxury
